SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Train_P,Bus_M,Bus_F,Bus_O,Bus_P,Ferry_M,Ferry_F,Ferry_O,Ferry_P,Tram_M,Tram_F,Tram_O,Tram_P,Taxi_M,Taxi_F,Taxi_O,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_O,Car_Pass_P,Truck_M,Truck_F,Truck_O,Truck_P,Mbike_M,Mbike_F,Mbike_O,Mbike_P,Bike_M,Bike_F,Bike_O,Bike_P,Other_M,Other_F,Other_O,Other_P,Walk_M,Walk_F,Walk_O,Walk_P,Tot_M,Tot_F,Tot_P
201011001,50,18,3,71,15,16,1,32,0,0,0,0,0,0,0,0,9,5,-6,8,2259,1964,-1,4222,131,183,4,318,16,0,2,18,8,0,0,8,32,9,-3,38,14,3,2,19,30,29,6,65,2562,2233,4797
201011002,76,47,4,127,20,22,1,43,0,0,0,0,0,0,0,0,11,4,1,16,1722,1630,-6,3346,93,148,1,242,14,0,-5,9,10,3,0,13,56,17,-2,71,15,10,-2,23,245,265,7,517,2260,2147,4406
201011003,116,59,3,178,49,55,0,104,0,0,5,5,0,3,0,3,13,8,1,22,3899,3509,1,7409,219,275,0,494,55,0,2,57,16,0,4,20,52,11,4,67,27,15,0,42,132,116,-6,242,4591,4055,8649
201011004,46,33,6,85,38,61,2,101,8,0,2,10,0,0,0,0,21,22,-1,42,3724,3405,2,7131,254,296,-2,548,49,0,1,50,25,0,-4,21,57,10,-2,65,27,10,-3,34,110,109,4,223,4354,3951,8300
201011005,21,9,-1,29,9,19,1,29,0,0,0,0,0,3,0,3,4,6,-4,6,1238,1041,-1,2278,55,61,-3,113,21,0,0,21,6,0,-3,3,12,3,-4,11,12,0,-2,10,47,32,7,86,1409,1166,2579
201011006,4,6,3,13,4,10,-4,10,0,0,0,0,0,0,0,0,0,3,1,4,1275,1145,3,2423,96,89,-4,181,16,0,0,16,11,0,0,11,3,0,1,4,8,4,3,15,27,11,5,43,1448,1274,2725
201011007,9,0,-1,8,3,4,1,8,0,0,0,0,0,0,0,0,0,3,0,3,813,659,-3,1469,39,48,-1,86,34,0,0,34,5,0,-1,4,0,0,0,0,4,0,0,4,8,8,-2,14,908,719,1627
201011008,17,16,-3,30,24,30,5,59,0,0,0,0,0,0,0,0,9,5,-6,8,2165,1756,3,3924,182,161,0,343,29,0,1,30,8,0,4,12,29,5,6,40,8,9,0,17,65,59,-2,122,2547,2041,4586
201021009,47,43,0,90,3,4,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,933,742,1,1676,66,59,-2,123,40,0,5,45,3,0,0,3,4,0,6,10,6,8,-2,12,33,28,4,65,1142,888,2027
201021010,8,11,1,20,4,4,5,13,0,0,0,0,3,0,0,3,0,0,0,0,1124,927,-2,2049,42,49,8,99,34,0,3,37,9,3,3,15,6,0,-2,4,6,6,1,13,67,45,-5,107,1307,1053,2361
201021011,19,27,-1,45,8,0,3,11,3,0,0,3,3,0,1,4,0,3,0,3,1204,1079,3,2286,59,66,3,128,39,0,0,39,3,0,0,3,4,4,0,8,19,12,-5,26,91,91,-2,180,1452,1290,2745
201021012,14,13,4,31,6,3,-3,6,0,0,0,0,0,0,0,0,3,0,0,3,941,794,8,1743,48,53,-4,97,48,0,4,52,13,0,0,13,3,0,0,3,9,4,6,19,41,19,4,64,1133,892,2023
201031013,0,0,0,0,3,3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,375,325,7,707,20,33,-4,49,28,3,-3,28,3,0,0,3,4,0,0,4,12,0,0,12,45,21,3,69,485,388,875
201031014,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,580,457,0,1037,17,39,-1,55,26,3,-3,26,0,0,0,0,0,0,3,3,7,4,1,12,33,20,-4,49,667,531,1199
201031015,3,5,-1,7,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,736,608,3,1347,39,28,1,68,24,0,3,27,7,0,0,7,0,0,3,3,11,0,4,15,12,20,3,35,835,667,1503
201031016,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,-3,0,941,834,-7,1768,57,85,2,144,25,0,0,25,3,4,-1,6,16,11,3,30,4,4,4,12,90,64,-1,153,1147,997,2140
201031017,3,0,0,3,4,0,-1,3,0,0,0,0,0,0,0,0,0,0,4,4,691,554,-1,1244,38,42,-3,77,16,0,-2,14,0,0,0,0,3,0,0,3,10,3,-3,10,46,22,6,74,806,621,1428
202011018,24,15,0,39,33,38,-2,69,0,0,3,3,0,3,0,3,6,14,0,20,2031,1766,2,3799,143,193,2,338,25,3,1,29,18,6,1,25,79,16,-4,91,17,7,3,27,286,334,0,620,2661,2400,5063
